// 更新于：2026-04-24 16:04:10
央视频道,#genre#
东方卫视,http://27.12.126.22:8899/udp/225.0.4.103:7980$重庆重庆市组播
东方卫视,http://183.188.14.29:8888/rtp/226.0.2.175:9312$山西省忻州市组播
四川卫视,http://1.56.158.152:4022/udp/229.58.190.224:5000$黑龙江省牡丹江市组播
四川卫视,http://124.116.170.138:8081/rtp/239.110.205.90:7916$陕西省咸阳市组播
四川卫视,http://112.66.98.237:8888/rtp/239.253.64.64:5140$海南省海口市组播
四川卫视,http://124.116.170.138:8081/rtp/239.111.205.62:5140$陕西省咸阳市组播
四川卫视,http://27.12.126.22:8899/udp/225.0.4.108:7980$重庆重庆市组播
安徽卫视,http://183.188.14.29:8888/rtp/226.0.2.145:9072$山西省忻州市组播
山东卫视,http://124.116.170.138:8081/rtp/239.111.205.66:5140$陕西省咸阳市组播
山东卫视,http://112.66.98.237:8888/rtp/239.253.64.65:5140$海南省海口市组播
山东卫视,http://124.116.170.138:8081/rtp/239.110.205.6:9770$陕西省咸阳市组播
山东卫视,http://27.12.126.22:8899/udp/225.0.4.106:7980$重庆重庆市组播
深圳卫视,http://27.18.132.227:2701/rtp/239.69.2.28:11322$湖北省武汉市组播
深圳卫视,http://124.116.170.138:8081/rtp/239.109.205.195:9642$陕西省咸阳市组播
深圳卫视,http://119.41.39.244:10000/rtp/239.253.64.95:5140$海南省三亚市组播
深圳卫视,http://1.56.158.152:4022/udp/229.58.190.216:5000$黑龙江省牡丹江市组播
深圳卫视,http://112.66.98.237:8888/rtp/239.253.64.95:5140$海南省海口市组播
深圳卫视,http://124.116.170.138:8081/rtp/239.111.205.104:5140$陕西省咸阳市组播
深圳卫视,http://27.12.126.22:8899/udp/225.0.4.101:7980$重庆重庆市组播
广东卫视,http://124.116.170.138:8081/rtp/239.110.205.36:9850$陕西省咸阳市组播
广东卫视,http://124.116.170.138:8081/rtp/239.111.205.103:5140$陕西省咸阳市组播
广东卫视,http://1.56.158.152:4022/udp/229.58.190.213:5000$黑龙江省牡丹江市组播
广东卫视,http://119.41.39.244:10000/rtp/239.253.64.96:5140$海南省三亚市组播
广东卫视,http://112.66.98.237:8888/rtp/239.253.64.96:5140$海南省海口市组播
广东卫视,http://27.12.126.22:8899/udp/225.0.4.102:7980$重庆重庆市组播
广东卫视,http://27.18.132.227:2701/rtp/239.69.2.27:11316$湖北省武汉市组播
江苏卫视,http://124.116.170.138:8081/rtp/239.109.205.97:8712$陕西省咸阳市组播
江苏卫视,http://119.41.39.244:10000/rtp/239.253.64.61:5140$海南省三亚市组播
江苏卫视,http://112.66.98.237:8888/rtp/239.253.64.61:5140$海南省海口市组播
江苏卫视,http://27.12.126.22:8899/udp/225.0.4.104:7980$重庆重庆市组播
河北卫视,http://121.29.215.108:2083/rtp/239.253.92.154:6011$河北省石家庄市组播
河南卫视,http://221.15.92.27:7001/rtp/225.1.4.98:1127$河南省洛阳市组播
浙江卫视,http://223.240.228.248:8888/rtp/238.1.79.28:4336$安徽省合肥市组播
浙江卫视,http://124.116.170.138:8081/rtp/239.111.205.65:5140$陕西省咸阳市组播
浙江卫视,http://112.66.98.237:8888/rtp/239.253.64.62:5140$海南省海口市组播
浙江卫视,http://119.41.39.244:10000/rtp/239.253.64.62:5140$海南省三亚市组播
浙江卫视,http://124.116.170.138:8081/rtp/239.109.205.104:8768$陕西省咸阳市组播
浙江卫视,http://27.12.126.22:8899/udp/225.0.4.105:7980$重庆重庆市组播
浙江卫视,http://121.29.215.108:2083/rtp/239.253.92.90:8020$河北省石家庄市组播
海南卫视,http://112.66.98.237:8888/rtp/239.253.64.253:5140$海南省海口市组播
海南卫视,http://119.41.39.244:10000/rtp/239.253.64.253:5140$海南省三亚市组播
山西卫视,http://183.188.14.29:8888/rtp/226.0.2.152:9128$山西省忻州市组播
贵州卫视,http://27.12.126.22:8899/udp/225.0.4.175:7980$重庆重庆市组播
重庆卫视,http://27.12.126.22:8899/udp/225.0.4.187:7980$重庆重庆市组播
宁夏卫视,http://183.188.14.29:8888/rtp/226.0.2.64:8424$山西省忻州市组播
新疆卫视,http://183.188.14.29:8888/rtp/226.0.2.67:8448$山西省忻州市组播
西藏卫视,http://183.188.14.29:8888/rtp/226.0.2.66:8440$山西省忻州市组播
兵团卫视,http://183.188.14.29:8888/rtp/226.0.2.62:8408$山西省忻州市组播

体育频道,#genre#
体育赛事,http://121.29.215.108:2083/rtp/239.253.92.82:8013$河北省石家庄市组播

广东频道,#genre#
广东卫视,http://124.116.170.138:8081/rtp/239.110.205.36:9850$陕西省咸阳市组播
广东卫视,http://124.116.170.138:8081/rtp/239.111.205.103:5140$陕西省咸阳市组播
广东卫视,http://1.56.158.152:4022/udp/229.58.190.213:5000$黑龙江省牡丹江市组播
广东卫视,http://119.41.39.244:10000/rtp/239.253.64.96:5140$海南省三亚市组播
广东卫视,http://112.66.98.237:8888/rtp/239.253.64.96:5140$海南省海口市组播
广东卫视,http://27.12.126.22:8899/udp/225.0.4.102:7980$重庆重庆市组播
广东卫视,http://27.18.132.227:2701/rtp/239.69.2.27:11316$湖北省武汉市组播
深圳卫视,http://27.18.132.227:2701/rtp/239.69.2.28:11322$湖北省武汉市组播
深圳卫视,http://124.116.170.138:8081/rtp/239.109.205.195:9642$陕西省咸阳市组播
深圳卫视,http://119.41.39.244:10000/rtp/239.253.64.95:5140$海南省三亚市组播
深圳卫视,http://1.56.158.152:4022/udp/229.58.190.216:5000$黑龙江省牡丹江市组播
深圳卫视,http://112.66.98.237:8888/rtp/239.253.64.95:5140$海南省海口市组播
深圳卫视,http://124.116.170.138:8081/rtp/239.111.205.104:5140$陕西省咸阳市组播
深圳卫视,http://27.12.126.22:8899/udp/225.0.4.101:7980$重庆重庆市组播

湖南频道,#genre#
湖南卫视,http://124.116.170.138:8081/rtp/239.110.205.91:7912$陕西省咸阳市组播
湖南卫视,http://124.116.170.138:8081/rtp/239.111.205.63:5140$陕西省咸阳市组播
湖南卫视,http://27.18.132.227:2701/rtp/239.69.1.27:9802$湖北省武汉市组播
湖南卫视,http://112.66.98.237:8888/rtp/239.253.64.60:5140$海南省海口市组播
湖南卫视,http://119.41.39.244:10000/rtp/239.253.64.60:5140$海南省三亚市组播
湖南卫视,http://27.12.126.22:8899/udp/225.0.4.107:7980$重庆重庆市组播
湖南卫视,http://121.29.215.108:2083/rtp/239.253.92.84:8015$河北省石家庄市组播

